student tobacco 
university,0-9g 
high school,20-29g
university,20-29g 
high school,10-19g
university,10-19g 
high school,0-9g
high school,0-9g
university,10-19g 
university,20-29g 
university,20-29g 
high school,0-9g
university,20-29g 
university,0-9g 
high school,20-29g
high school,0-9g
university,10-19g 
high school,0-9g
university,10-19g 
high school,0-9g
university,20-29g 
high school,20-29g
high school,0-9g
university,10-19g 
high school,0-9g
high school,10-19g
high school,10-19g
university,20-29g 
university,0-9g 
high school,10-19g
high school,0-9g
high school,10-19g
high school,20-29g
university,0-9g 
university,10-19g 
university,0-9g 
university,0-9g 
university,0-9g 
university,10-19g 
university,0-9g 
high school,10-19g
university,20-29g 
high school,0-9g
university,0-9g 
high school,10-19g
university,20-29g 
university,10-19g 
high school,20-29g
high school,0-9g
high school,10-19g
university,10-19g 
high school,10-19g
university,20-29g 
university,20-29g 
university,10-19g 
high school,0-9g
university,20-29g 
university,10-19g 
high school,10-19g
university,10-19g 
high school,10-19g
high school,0-9g
high school,20-29g
high school,10-19g
high school,20-29g
high school,10-19g
university,0-9g 
university,20-29g 
high school,10-19g
high school,20-29g
high school,20-29g
high school,0-9g
university,0-9g 
university,0-9g 
university,10-19g 
high school,10-19g
high school,10-19g
high school,0-9g
university,10-19g 
high school,0-9g
high school,0-9g
university,20-29g 
university,20-29g 
university,20-29g 
university,0-9g 
high school,20-29g
university,10-19g 
high school,20-29g
university,0-9g 
